0 |input  158:0.0 |output 38:1 39:1 76:1 77:1
1 |input  38:1 39:1 76:1 77:1 158:0.25 |output 39:1 77:1
1 |input  158:0.0
2 |input  39:1 77:1 158:0.5 |output 39:1 77:1
2 |input  38:1 39:1 76:1 77:1 158:0.25
2 |input  158:0.0
3 |input  39:1 77:1 158:0.75 |output 39:1 77:1
3 |input  39:1 77:1 158:0.5
3 |input  38:1 39:1 76:1 77:1 158:0.25
3 |input  158:0.0
4 |input  39:1 77:1 158:1.0 |output 52:1 53:1 94:1 95:1
4 |input  39:1 77:1 158:0.75
4 |input  39:1 77:1 158:0.5
4 |input  38:1 39:1 76:1 77:1 158:0.25
4 |input  158:0.0
5 |input  52:1 53:1 94:1 95:1 158:1.25 |output 53:1 95:1
5 |input  39:1 77:1 158:1.0
5 |input  39:1 77:1 158:0.75
5 |input  39:1 77:1 158:0.5
5 |input  38:1 39:1 76:1 77:1 158:0.25
5 |input  158:0.0
6 |input  53:1 95:1 158:1.5 |output 53:1 95:1
6 |input  52:1 53:1 94:1 95:1 158:1.25
6 |input  39:1 77:1 158:1.0
6 |input  39:1 77:1 158:0.75
6 |input  39:1 77:1 158:0.5
6 |input  38:1 39:1 76:1 77:1 158:0.25
6 |input  158:0.0
7 |input  53:1 95:1 158:1.75 |output 53:1 95:1
7 |input  53:1 95:1 158:1.5
7 |input  52:1 53:1 94:1 95:1 158:1.25
7 |input  39:1 77:1 158:1.0
7 |input  39:1 77:1 158:0.75
7 |input  39:1 77:1 158:0.5
7 |input  38:1 39:1 76:1 77:1 158:0.25
7 |input  158:0.0
8 |input  53:1 95:1 158:2.0 |output 56:1 57:1 90:1 91:1
8 |input  53:1 95:1 158:1.75
8 |input  53:1 95:1 158:1.5
8 |input  52:1 53:1 94:1 95:1 158:1.25
8 |input  39:1 77:1 158:1.0
8 |input  39:1 77:1 158:0.75
8 |input  39:1 77:1 158:0.5
8 |input  38:1 39:1 76:1 77:1 158:0.25
8 |input  158:0.0
